symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,start_time,end_time
BTCUSDT,3,33.33333333333333,0.33887072647071204,1.7995594707945815,1.3942070204749417,2025-04-04 10:21:00,2025-05-21 17:44:00
ETHUSDT,17,52.94117647058824,-1.774294686128223,3.089132700433408,0.7382200503553283,2025-03-10 23:58:00,2025-05-29 05:55:00
SOLUSDT,20,45.0,-0.21109232479542273,3.5893680347827486,0.9739350056824008,2025-03-10 22:33:00,2025-06-01 18:56:00
ALPACAUSDT,106,50.943396226415096,-8.758574541527878,42.187375148999976,0.9419133728542767,2025-03-08 20:17:00,2025-04-30 00:16:00
DOGEUSDT,25,28.000000000000004,-4.819034896781403,4.7564311787851725,0.590641346652818,2025-03-09 21:51:00,2025-05-23 17:02:00
1000PEPEUSDT,68,35.294117647058826,-12.655232040418827,5.3820472415608425,0.6544358849141813,2025-03-09 22:23:00,2025-06-05 14:19:00
XRPUSDT,19,47.368421052631575,4.831869927020656,3.6627512254003562,2.4058364075416274,2025-03-09 22:16:00,2025-05-21 17:37:00
RVNUSDT,24,41.66666666666667,-10.179127120380295,11.431579717032879,0.5692518688787274,2025-03-10 13:53:00,2025-06-06 06:21:00
LAUSDT,4,50.0,0.16243388557086824,7.660524201888435,1.0258909346827882,2025-06-05 13:26:00,2025-06-06 04:25:00
FARTCOINUSDT,201,46.26865671641791,-10.057568892186623,9.237050590519432,0.9295362203399508,2025-03-08 11:27:00,2025-06-06 00:57:00
SUIUSDT,38,55.26315789473685,10.648112579426227,5.595939650865244,1.752798956532877,2025-03-09 22:03:00,2025-06-05 14:12:00
TRUMPUSDT,39,48.717948717948715,0.4815212730232923,7.051973219453838,1.0265907192303403,2025-03-10 22:33:00,2025-05-23 11:50:00
BNBUSDT,2,0.0,-1.065825091014956,0.6035090255316695,0.0,2025-03-11 11:05:00,2025-03-13 15:10:00
ADAUSDT,22,50.0,9.132985707533793,3.803626429594263,2.875776544896765,2025-03-10 22:27:00,2025-05-21 17:35:00
LPTUSDT,60,40.0,-9.663178281160366,9.217038145495248,0.765480396171565,2025-03-09 22:25:00,2025-06-05 00:54:00
BNXUSDT,21,42.857142857142854,13.811813272364716,8.625892319163974,2.125450669785521,2025-03-08 13:52:00,2025-03-17 08:33:00
ENAUSDT,72,37.5,2.7989182380068773,5.916378519118245,1.094273637697254,2025-03-08 17:00:00,2025-06-04 17:52:00
WIFUSDT,103,46.601941747572816,8.03313318456012,5.972136352314392,1.1571179550650084,2025-03-08 11:47:00,2025-06-06 00:56:00
AAVEUSDT,27,37.03703703703704,-4.057529013021666,5.444626116885907,0.7483117066932109,2025-03-10 18:23:00,2025-06-01 18:40:00
LINKUSDT,22,50.0,-2.923819521935933,5.496596289017426,0.7665948305406619,2025-03-11 12:13:00,2025-05-23 11:57:00
