symbol,trades,win_rate,avg_return,profit_trades,loss_trades,profit_factor
BTCUSDT,90,33.33333333333333,-0.05201122618559523,30,60,0.929936732462582
ETHUSDT,171,33.91812865497076,-0.021423340659991526,58,113,0.9718025525673895
BNBUSDT,98,30.612244897959183,-0.13639692612360105,30,68,0.8218693561713418
XRPUSDT,113,36.283185840707965,0.026895467174583125,41,72,1.0365053229457237
ADAUSDT,143,39.86013986013986,0.17579067350428648,57,86,1.266235550634741
DOGEUSDT,153,35.947712418300654,0.03175870728024584,55,98,1.0439193185115272
SOLUSDT,146,34.24657534246575,-0.048898496990441485,50,96,0.9363071899141167
DOTUSDT,148,34.45945945945946,-0.0013721434605538216,51,97,0.9980960840849215
LINKUSDT,160,33.125,-0.05358124514024174,53,107,0.929229028798865
UNIUSDT,196,34.69387755102041,-0.02354522342739585,68,128,0.9689372539875402
ATOMUSDT,173,39.884393063583815,0.18493156212272596,69,104,1.2832358273334794
LTCUSDT,141,34.751773049645394,0.015963460830774625,49,92,1.0223031606838957
XLMUSDT,160,36.875,0.05776536431200452,59,101,1.0799493358933516
VETUSDT,150,39.33333333333333,0.1579040773224401,59,91,1.2345736764839783
FILUSDT,144,36.11111111111111,0.041871636196751084,52,92,1.0589333650336283
THETAUSDT,181,38.12154696132597,0.10730679782481319,69,112,1.1538299223903947
XTZUSDT,192,34.375,-0.0074151534077171455,66,126,0.9898926770894272
EOSUSDT,146,31.506849315068493,-0.21873615270211286,46,100,0.7565263902968069
AAVEUSDT,186,30.64516129032258,-0.1338568214422031,57,129,0.8275426495969765
